Majors,Terms in Attendance
Environmental Sciences BS,8
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,3
Data Science BA,8
Computer Science BA,5
Civil Engineering BS,8
Data Science BA,8
Summer Internatnl Visitor UG,U
Data Science BA,5
Data Science BA,3
Cognitive Science BA,8
Applied Mathematics BA,7
Energy Engineering BS,7
Electrical Eng & Comp Sci BS,8
Computer Science BA,7
Letters & Sci Undeclared UG,8
"Data Science BA, Sociology BA",8
Data Science BA,5
"Computer Science BA, Mathematics BA",7
Civil Engineering BS,8
Civil Engineering BS,8
Molecular & Cell Biology BA,5
Environ Econ & Policy BS,8
"Summer Internatnl Visitor UG, UCBX Concurrent International",U
Summer Internatnl Visitor UG,U
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,8
Chemical Engineering BS,5
Letters & Sci Undeclared UG,5
Data Science BA,7
Data Science BA,6
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,3
Data Science BA,7
Data Science BA,8
Applied Mathematics BA,7
Data Science BA,7
"Data Science BA, Molecular & Cell Biology BA",3
Electrical Eng & Comp Sci BS,5
Data Science BA,7
Cognitive Science BA,7
Economics BA,5
Letters & Sci Undeclared UG,5
Civil Engineering BS,5
Computer Science BA,3
Letters & Sci Undeclared UG,8
Environ Econ & Policy BS,5
Civil Engineering BS,8
Data Science BA,7
Letters & Sci Undeclared UG,7
Data Science BA,5
"Environmental Sciences BS, Letters & Sci Undeclared UG",7
Letters & Sci Undeclared UG,8
Data Science BA,7
Computer Science BA,5
Data Science BA,5
Industrial Eng & Ops Rsch BS,5
Applied Mathematics BA,7
Data Science BA,5
"Business Administration BS, Economics BA, Political Economy BA",8
Letters & Sci Undeclared UG,3
Data Science BA,5
Letters & Sci Undeclared UG,5
Summer Internatnl Visitor UG,U
Letters & Sci Undeclared UG,7
Summer Domestic Visitor UG,U
Computer Science BA,8
Letters & Sci Undeclared UG,3
Data Science BA,7
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,5
Summer Internatnl Visitor UG,U
Chemical Engineering BS,5
Molecular & Cell Biology BA,8
Data Science BA,7
Data Science BA,8
Summer Domestic Visitor GR,G
Letters & Sci Undeclared UG,3
Data Science BA,8
Letters & Sci Undeclared UG,5
"Nutritional Science BS, Public Health BA",7
Environ Econ & Policy BS,5
"Computer Science BA, Nutritional Science BS",8
Business Administration BS,7
"Business Administration BS, Data Science BA",8
Summer Domestic Visitor UG,U
Data Science BA,6
Letters & Sci Undeclared UG,3
"Applied Mathematics BA, Environmental Sciences BS",5
Computer Science BA,5
Cognitive Science BA,5
Mechanical Engineering BS,7
Data Science BA,5
Chemical Engineering BS,5
Letters & Sci Undeclared UG,8
Summer Internatnl Visitor UG,U
Data Science BA,7
"Data Science BA, Public Health BA",7
"Chemical Biology BS, Letters & Sci Undeclared UG",5
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,7
Computer Science BA,5
Electrical Eng & Comp Sci BS,5
Economics BA,5
Electrical Eng & Comp Sci BS,8
Summer Internatnl Visitor UG,U
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,3
Summer Internatnl Visitor GR,G
Media Studies BA,8
Statistics BA,8
Mathematics BA,5
Data Science BA,7
Letters & Sci Undeclared UG,8
Civil Engineering BS,7
Data Science BA,U
Data Science BA,7
Economics BA,7
"Computer Science BA, Political Science BA",7
"Chemical Biology BS, Letters & Sci Undeclared UG",5
Letters & Sci Undeclared UG,5
"Computer Science BA, Mathematics BA",5
"Molecular & Cell Biology BA, Molecular Environ Biology BS",7
Letters & Sci Undeclared UG,8
"Applied Mathematics BA, Computer Science BA",7
Data Science BA,5
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,5
Data Science BA,5
"Data Science BA, Environ Econ & Policy BS",5
Letters & Sci Undeclared UG,7
Data Science BA,7
Mathematics BA,5
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,7
Environmental Sciences BS,3
Sociology BA,7
Chemical Engineering BS,5
Letters & Sci Undeclared UG,7
Statistics BA,3
"Data Science BA, Environmental Sciences BS",7
Data Science BA,7
Chemical Engineering BS,5
Data Science BA,8
Letters & Sci Undeclared UG,5
Molecular & Cell Biology BA,6
Summer Internatnl Visitor UG,U
Letters & Sci Undeclared UG,8
Public Health BA,7
Microbial Biology BS,5
Computer Science BA,8
Molecular & Cell Biology BA,7
Summer Internatnl Visitor UG,U
Sociology BA,3
"Chemistry BS, Molecular & Cell Biology BA",7
"Summer Internatnl Visitor UG, UCBX Concurrent International",U
Summer Domestic Visitor UG,U
Applied Mathematics BA,8
Computer Science BA,7
Letters & Sci Undeclared UG,3
Applied Mathematics BA,7
"Applied Mathematics BA, Computer Science BA",5
Data Science BA,5
Letters & Sci Undeclared UG,8
Data Science BA,5
Letters & Sci Undeclared UG,5
Electrical Eng & Comp Sci BS,8
#REF!,#REF!
Computer Science BA,4
Letters & Sci Undeclared UG,5
Computer Science BA,5
Bioengineering BS,8
Cognitive Science BA,5
Chemical Engineering BS,5
